INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-04T09:00:00-00:00,2019-07-04T10:00:00-00:00,7/4/2019,3,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.52847,4
2019-07-04T13:00:00-00:00,2019-07-04T14:00:00-00:00,7/4/2019,7,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,4
2019-07-05T00:00:00-00:00,2019-07-05T01:00:00-00:00,7/4/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5.4187,4
2019-07-04T19:00:00-00:00,2019-07-04T20:00:00-00:00,7/4/2019,13,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.92235,4
2019-07-04T14:00:00-00:00,2019-07-04T15:00:00-00:00,7/4/2019,8,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.81964,4
2019-07-04T17:00:00-00:00,2019-07-04T18:00:00-00:00,7/4/2019,11,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,1.25,4
2019-07-04T23:00:00-00:00,2019-07-05T00:00:00-00:00,7/4/2019,17,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,1.5,4
2019-07-04T12:00:00-00:00,2019-07-04T13:00:00-00:00,7/4/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,4
2019-07-06T00:00:00-00:00,2019-07-06T01:00:00-00:00,7/5/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.01,5
2019-07-06T01:00:00-00:00,2019-07-06T02:00:00-00:00,7/5/2019,19,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5.6182,5
2019-07-06T03:00:00-00:00,2019-07-06T04:00:00-00:00,7/5/2019,21,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.01,5
2019-07-06T06:00:00-00:00,2019-07-06T07:00:00-00:00,7/5/2019,24,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5,5
2019-07-05T07:00:00-00:00,2019-07-05T08:00:00-00:00,7/5/2019,1,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.47428,5
2019-07-05T09:00:00-00:00,2019-07-05T10:00:00-00:00,7/5/2019,3,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-05T15:00:00-00:00,2019-07-05T16:00:00-00:00,7/5/2019,9,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-05T19:00:00-00:00,2019-07-05T20:00:00-00:00,7/5/2019,13,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-06T05:00:00-00:00,2019-07-06T06:00:00-00:00,7/5/2019,23,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4,5
2019-07-05T16:00:00-00:00,2019-07-05T17:00:00-00:00,7/5/2019,10,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.95729,5
2019-07-05T10:00:00-00:00,2019-07-05T11:00:00-00:00,7/5/2019,4,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-06T04:00:00-00:00,2019-07-06T05:00:00-00:00,7/5/2019,22,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.48689,5
2019-07-05T08:00:00-00:00,2019-07-05T09:00:00-00:00,7/5/2019,2,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.586,5
2019-07-05T13:00:00-00:00,2019-07-05T14:00:00-00:00,7/5/2019,7,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,5
2019-07-05T14:00:00-00:00,2019-07-05T15:00:00-00:00,7/5/2019,8,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,5
2019-07-05T21:00:00-00:00,2019-07-05T22:00:00-00:00,7/5/2019,15,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5,5
2019-07-05T18:00:00-00:00,2019-07-05T19:00:00-00:00,7/5/2019,12,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.97906,5
2019-07-05T20:00:00-00:00,2019-07-05T21:00:00-00:00,7/5/2019,14,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-05T22:00:00-00:00,2019-07-05T23:00:00-00:00,7/5/2019,16,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,8.01,5
2019-07-05T23:00:00-00:00,2019-07-06T00:00:00-00:00,7/5/2019,17,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.01,5
2019-07-05T11:00:00-00:00,2019-07-05T12:00:00-00:00,7/5/2019,5,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-05T12:00:00-00:00,2019-07-05T13:00:00-00:00,7/5/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,5
2019-07-05T17:00:00-00:00,2019-07-05T18:00:00-00:00,7/5/2019,11,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,5
2019-07-06T02:00:00-00:00,2019-07-06T03:00:00-00:00,7/5/2019,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,11.05204,5
2019-07-06T11:00:00-00:00,2019-07-06T12:00:00-00:00,7/6/2019,5,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.74,6
2019-07-07T02:00:00-00:00,2019-07-07T03:00:00-00:00,7/6/2019,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,11.84777,6
2019-07-06T22:00:00-00:00,2019-07-06T23:00:00-00:00,7/6/2019,16,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,14.69205,6
2019-07-07T00:00:00-00:00,2019-07-07T01:00:00-00:00,7/6/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,12.64879,6
2019-07-06T07:00:00-00:00,2019-07-06T08:00:00-00:00,7/6/2019,1,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.83592,6
2019-07-07T01:00:00-00:00,2019-07-07T02:00:00-00:00,7/6/2019,19,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.88357,6
2019-07-06T12:00:00-00:00,2019-07-06T13:00:00-00:00,7/6/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.66505,6
